DUBINS
(279.195679, 434.392759, 4.407397)
(279.602846, 434.102561, 4.437349)
(280.010013, 433.812362, 4.467302)
(280.417179, 433.522163, 4.497254)
(280.824346, 433.231965, 4.527206)
(281.231513, 432.941766, 4.557159)
(281.63868, 432.651568, 4.587111)
(282.045847, 432.361369, 4.617064)
(282.453013, 432.071171, 4.647016)
(282.86018, 431.780972, 4.676968)
(283.267347, 431.490774, 4.706921)
(283.674514, 431.200575, 4.736873)
(284.08168, 430.910376, 4.766826)
(284.488847, 430.620178, 4.796778)
(284.896014, 430.329979, 4.82673)
(285.303181, 430.039781, 4.856683)
(285.710348, 429.749582, 4.886635)
(286.117514, 429.459384, 4.916587)
(286.524681, 429.169185, 4.94654)
(286.931848, 428.878986, 4.976492)
(287.339015, 428.588788, 5.006445)
(287.746182, 428.298589, 5.036397)
(288.153348, 428.008391, 5.066349)
(288.560515, 427.718192, 5.096302)
(288.967682, 427.427994, 5.126254)
(289.374849, 427.137795, 5.156206)
(289.782016, 426.847597, 5.186159)
(290.189182, 426.557398, 5.216111)
(290.596349, 426.267199, 5.246064)
(291.003516, 425.977001, 5.276016)
(291.410683, 425.686802, 5.305968)
(291.81785, 425.396604, 5.335921)
(292.225016, 425.106405, 5.365873)
(292.632183, 424.816207, 5.395826)
(293.03935, 424.526008, 5.425778)
(293.446517, 424.23581, 5.45573)
(293.853683, 423.945611, 5.485683)
(294.26085, 423.655412, 5.515635)
(294.668017, 423.365214, 5.545587)
(295.075184, 423.075015, 5.57554)
(295.482351, 422.784817, 5.605492)
(295.889517, 422.494618, 5.635445)
(296.296684, 422.20442, 5.665397)
(296.703851, 421.914221, 5.695349)
(297.111018, 421.624022, 5.725302)
(297.518185, 421.333824, 5.755254)
(297.925351, 421.043625, 5.785206)
(298.332518, 420.753427, 5.815159)
(298.739685, 420.463228, 5.845111)
(299.146852, 420.17303, 5.875064)
(299.554019, 419.882831, 5.905016)
(299.961185, 419.592633, 5.934968)
(300.368352, 419.302434, 5.964921)
(300.775519, 419.012235, 5.994873)
(301.182686, 418.722037, 6.024826)
(301.589853, 418.431838, 6.054778)
(301.997019, 418.14164, 6.08473)
(302.404186, 417.851441, 6.114683)
(302.811353, 417.561243, 6.144635)
(303.21852, 417.271044, 6.174587)
(303.625686, 416.980846, 6.20454)
(304.032853, 416.690647, 6.234492)
(304.44002, 416.400448, 6.264445)
(304.847187, 416.11025, 6.294397)
(305.254354, 415.820051, 6.324349)
(305.66152, 415.529853, 6.354302)
(306.068687, 415.239654, 6.384254)
(306.475854, 414.949456, 6.414207)
(306.883021, 414.659257, 6.444159)
(307.290188, 414.369058, 6.474111)
(307.697354, 414.07886, 6.504064)
(308.104521, 413.788661, 6.534016)
(308.511688, 413.498463, 6.563968)
(308.918855, 413.208264, 6.593921)
(309.326022, 412.918066, 6.623873)
(309.733188, 412.627867, 6.653826)
(310.140355, 412.337669, 6.683778)
(310.547522, 412.04747, 6.71373)
(310.954689, 411.757271, 6.743683)
(311.361855, 411.467073, 6.773635)
(311.769022, 411.176874, 6.803587)
(312.176189, 410.886676, 6.83354)
(312.583356, 410.596477, 6.863492)
(312.990523, 410.306279, 6.893445)
(313.397689, 410.01608, 6.923397)
(313.804856, 409.725882, 6.953349)
(314.212023, 409.435683, 6.983302)
(314.61919, 409.145484, 7.013254)
(315.026357, 408.855286, 7.043207)
(315.433523, 408.565087, 7.073159)
(315.84069, 408.274889, 7.103111)
(316.247857, 407.98469, 7.133064)
(316.655024, 407.694492, 7.163016)
(317.062191, 407.404293, 7.192968)
(317.469357, 407.114094, 7.222921)
(317.876524, 406.823896, 7.252873)
(318.283691, 406.533697, 7.282826)
(318.690858, 406.243499, 7.312778)
(319.098025, 405.9533, 7.34273)
(319.505191, 405.663102, 7.372683)
(319.912358, 405.372903, 7.402635)
(320.319525, 405.082705, 7.432588)
(320.726692, 404.792506, 7.46254)
(321.133858, 404.502307, 7.492492)
(321.541025, 404.212109, 7.522445)
(321.948192, 403.92191, 7.552397)
(322.355359, 403.631712, 7.582349)
(322.762526, 403.341513, 7.612302)
(323.169692, 403.051315, 7.642254)
(323.576859, 402.761116, 7.672207)
(323.984026, 402.470918, 7.702159)
(324.391193, 402.180719, 7.732111)
(324.79836, 401.89052, 7.762064)
(325.205526, 401.600322, 7.792016)
(325.612693, 401.310123, 7.821968)
(326.01986, 401.019925, 7.851921)
(326.427027, 400.729726, 7.881873)
(326.834194, 400.439528, 7.911826)
(327.24136, 400.149329, 7.941778)
(327.648527, 399.85913, 7.97173)
(328.055694, 399.568932, 8.001683)
(328.462861, 399.278733, 8.031635)
(328.870027, 398.988535, 8.061588)
(329.277194, 398.698336, 8.09154)
(329.684361, 398.408138, 8.121492)
(330.091528, 398.117939, 8.151445)
(330.498695, 397.827741, 8.181397)
(330.905861, 397.537542, 8.211349)
(331.313028, 397.247343, 8.241302)
(331.720195, 396.957145, 8.271254)
(332.127362, 396.666946, 8.301207)
(332.534529, 396.376748, 8.331159)
(332.941695, 396.086549, 8.361111)
(333.348862, 395.796351, 8.391064)
(333.756029, 395.506152, 8.421016)
(334.163196, 395.215953, 8.450969)
(334.570363, 394.925755, 8.480921)
(334.977529, 394.635556, 8.510873)
(335.384696, 394.345358, 8.540826)
(335.791863, 394.055159, 8.570778)
(336.19903, 393.764961, 8.60073)
(336.606197, 393.474762, 8.630683)
(337.013363, 393.184564, 8.660635)
(337.42053, 392.894365, 8.690588)
(337.827697, 392.604166, 8.72054)
(338.234864, 392.313968, 8.750492)
(338.64203, 392.023769, 8.780445)
(339.049197, 391.733571, 8.810397)
(339.456364, 391.443372, 8.840349)
(339.863531, 391.153174, 8.870302)
(340.270698, 390.862975, 8.900254)
(340.677864, 390.572777, 8.930207)
(341.085031, 390.282578, 8.960159)
(341.492198, 389.992379, 8.990111)
(341.899365, 389.702181, 9.020064)
(342.306532, 389.411982, 9.050016)
(342.713698, 389.121784, 9.079969)
(343.120865, 388.831585, 9.109921)
(343.528032, 388.541387, 9.139873)
(343.935199, 388.251188, 9.169826)
(344.342366, 387.960989, 9.199778)
(344.749532, 387.670791, 9.22973)
(345.156699, 387.380592, 9.259683)
(345.563866, 387.090394, 9.289635)
(345.971033, 386.800195, 9.319588)
(346.378199, 386.509997, 9.34954)
(346.785366, 386.219798, 9.379492)
(347.192533, 385.9296, 9.409445)
(347.5997, 385.639401, 9.439397)
(348.006867, 385.349202, 9.469349)
(348.414033, 385.059004, 9.499302)
(348.8212, 384.768805, 9.529254)
(349.228367, 384.478607, 9.559207)
(349.635534, 384.188408, 9.589159)
(350.042701, 383.89821, 9.619111)
(350.449867, 383.608011, 9.649064)
(350.857034, 383.317813, 9.679016)
(351.264201, 383.027614, 9.708969)
(351.671368, 382.737415, 9.738921)
(352.078535, 382.447217, 9.768873)
(352.485701, 382.157018, 9.798826)
(352.892868, 381.86682, 9.828778)
(353.300035, 381.576621, 9.85873)
(353.707202, 381.286423, 9.888683)
(354.114369, 380.996224, 9.918635)
(354.521535, 380.706025, 9.948588)
(354.928702, 380.415827, 9.97854)
(355.335869, 380.125628, 10.008492)
(355.743036, 379.83543, 10.038445)
(356.150202, 379.545231, 10.068397)
(356.557369, 379.255033, 10.09835)
(356.964536, 378.964834, 10.128302)
(357.371703, 378.674636, 10.158254)
(357.77887, 378.384437, 10.188207)
(358.186036, 378.094238, 10.218159)
(358.593203, 377.80404, 10.248111)
(359.00037, 377.513841, 10.278064)
(359.407537, 377.223643, 10.308016)
(359.814704, 376.933444, 10.337969)
(360.22187, 376.643246, 10.367921)
(360.629037, 376.353047, 10.397873)
(361.036204, 376.062849, 10.427826)
(361.443371, 375.77265, 10.457778)
(361.850538, 375.482451, 10.48773)
(362.257704, 375.192253, 10.517683)
(362.664871, 374.902054, 10.547635)
(363.072038, 374.611856, 10.577588)
(363.479205, 374.321657, 10.60754)
(363.886372, 374.031459, 10.637492)
(364.293538, 373.74126, 10.667445)
(364.700705, 373.451061, 10.697397)
(365.107872, 373.160863, 10.72735)
(365.515039, 372.870664, 10.757302)
(365.922205, 372.580466, 10.787254)
(366.329372, 372.290267, 10.817207)
(366.736539, 372.000069, 10.847159)
(367.143706, 371.70987, 10.877111)
(367.550873, 371.419672, 10.907064)
(367.958039, 371.129473, 10.937016)
(368.365206, 370.839274, 10.966969)
(368.772373, 370.549076, 10.996921)
(369.17954, 370.258877, 11.026873)
(369.586707, 369.968679, 11.056826)
(369.993873, 369.67848, 11.086778)
(370.40104, 369.388282, 11.116731)
(370.808207, 369.098083, 11.146683)
(371.215374, 368.807885, 11.176635)
(371.622541, 368.517686, 11.206588)
(372.029707, 368.227487, 11.23654)
(372.436874, 367.937289, 11.266492)
